[2025-12-01 15:58:22.134359] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 15:58:22.134359] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 15:58:22.134359] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 15:58:22.134359] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 15:58:22.212416] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 15:58:22.212416] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-12-01 15:58:22.212416] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGger:A:TYPe EDGE'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:LEVEL 0.5'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:EDGE:SOURCE CH1'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 15:58:22.218478] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:SCAle 1'
[2025-12-01 15:58:22.228734] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:POSition 1'
[2025-12-01 15:58:22.229833] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:MODe SAMPLE'
[2025-12-01 15:58:22.229833] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STOPAfter SEQUENCE'
[2025-12-01 15:58:22.229833] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MODE MANUAL'
[2025-12-01 15:58:22.229833] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MAIN:SCALE 20'
[2025-12-01 15:58:22.233983] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'MEASUrement:MEAS1:SOURCE CH1'
[2025-12-01 15:58:22.233983] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STATE ON'
[2025-12-01 15:58:22.233983] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:58:22.252856] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:58:22.762262] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:58:22.762262] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:58:23.264561] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:58:23.266517] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:58:23.767912] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:58:23.768447] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:58:24.270894] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:58:24.270894] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '0'
[2025-12-01 15:58:24.270894] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-12-01 15:58:24.270894] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC SRIbinary'
[2025-12-01 15:58:24.278913] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 4'
[2025-12-01 15:58:24.280011] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-12-01 15:58:24.283849] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '781.2500E-6'
[2025-12-01 15:58:24.283849] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-12-01 15:58:24.283849] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-12-01 15:58:24.283849] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-12-01 15:58:24.293879] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '0.0E+0'
[2025-12-01 15:58:24.293879] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-12-01 15:58:24.297739] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-12-01 15:58:24.298737] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-12-01 15:58:31.395263] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SAVE:IMAGE:COMPOSITION INVERTED'
[2025-12-01 15:58:31.397259] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'SAVE:IMAGE:COMPOSITION?'
[2025-12-01 15:58:31.399256] [tm_devices] [    INFO] Response from 'SAVE:IMAGE:COMPOSITION?' >>  'INVERTED'
[2025-12-01 15:58:31.400259] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Query >>  ':FILESystem:CWD?'
[2025-12-01 15:58:31.401256] [tm_devices] [   DEBUG] Response from ':FILESystem:CWD?' >>  '"C:"'
[2025-12-01 15:58:31.402260] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SAVE:IMAGE "./screen.png"'
[2025-12-01 15:58:31.403257] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*OPC?'
[2025-12-01 15:58:31.603410] [tm_devices] [    INFO] Response from '*OPC?' >>  '1'
[2025-12-01 15:58:31.613381] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'FILESYSTEM:READFILE "./screen.png"'
[2025-12-01 15:58:31.622595] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'FILESYSTEM:DELETE "./screen.png"'
[2025-12-01 15:58:31.623594] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*OPC?'
[2025-12-01 15:58:31.642047] [tm_devices] [    INFO] Response from '*OPC?' >>  '1'
[2025-12-01 15:58:31.844405] [tm_devices] [    INFO] Closing Connections to Devices
[2025-12-01 15:58:31.844405] [tm_devices] [    INFO] Closing Connection to SCOPE 1 "SCOPE1"
[2025-12-01 15:58:31.846383] [tm_devices] [    INFO] DeviceManager Closed
