[2025-11-24 16:36:49.812660] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-11-24 16:36:49.816658] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-11-24 16:36:49.816658] [tm_devices] [    INFO] Opening DeviceManager
[2025-11-24 16:36:49.817658] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-11-24 16:36:49.853459] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-11-24 16:36:49.854479] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-11-24 16:36:49.856453] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-11-24 16:36:49.858453] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-11-24 16:36:49.859451] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SELECT:CH1 ON'
[2025-11-24 16:36:49.860450] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'AUTOSet EXECute'
[2025-11-24 16:36:50.571760] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:36:50.572739] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:36:50.574707] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:36:50.575705] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:36:50.581733] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '40.0000E-3'
[2025-11-24 16:36:50.582731] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:36:50.591746] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:36:50.592724] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:36:50.600732] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '-590.0000E-3'
[2025-11-24 16:36:50.600732] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:36:50.604688] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '1.60E-6'
[2025-11-24 16:36:50.605706] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:36:51.320539] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:36:51.321526] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:36:51.322526] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:36:51.324524] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:36:51.326525] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '40.0000E-3'
[2025-11-24 16:36:51.327523] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:36:51.329527] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:36:51.330493] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:36:51.338488] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '-590.0000E-3'
[2025-11-24 16:36:51.339486] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:36:51.348482] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '1.60E-6'
[2025-11-24 16:36:51.348482] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:36:52.063607] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:36:52.065594] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:36:52.066590] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:36:52.068590] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:36:52.072588] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '40.0000E-3'
[2025-11-24 16:36:52.073586] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:36:52.083596] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:36:52.084582] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:36:52.088578] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '-590.0000E-3'
[2025-11-24 16:36:52.089577] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:36:52.092576] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '1.60E-6'
[2025-11-24 16:36:52.092576] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:36:52.812911] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:36:52.814950] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:36:52.815948] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:36:52.817945] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:36:52.821916] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '40.0000E-3'
[2025-11-24 16:36:52.822947] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:36:52.830941] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:36:52.831939] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:36:52.834967] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '-590.0000E-3'
[2025-11-24 16:36:52.835936] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:36:52.838926] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '1.60E-6'
[2025-11-24 16:36:52.839925] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:36:53.563772] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:36:53.564772] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:36:53.566768] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:36:53.567772] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:36:53.570743] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '40.0000E-3'
[2025-11-24 16:36:53.570743] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:36:53.573741] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:36:53.574740] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:36:53.581736] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '-590.0000E-3'
[2025-11-24 16:36:53.582735] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:36:53.590751] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '1.60E-6'
[2025-11-24 16:36:53.591748] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:36:54.306418] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:36:54.307421] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
