[2025-11-24 16:38:16.476615] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-11-24 16:38:16.479613] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-11-24 16:38:16.479613] [tm_devices] [    INFO] Opening DeviceManager
[2025-11-24 16:38:16.480612] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-11-24 16:38:16.511634] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-11-24 16:38:16.512633] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-11-24 16:38:16.513633] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-11-24 16:38:16.515628] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-11-24 16:38:16.516630] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SELECT:CH1 ON'
[2025-11-24 16:38:16.517600] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'AUTOSet EXECute'
[2025-11-24 16:38:17.230076] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:38:17.231021] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:38:17.233049] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:38:17.234017] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:38:17.238043] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '5.2000E-3'
[2025-11-24 16:38:17.239019] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:38:17.253035] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:38:17.253035] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:38:17.257050] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '1.0000E-3'
[2025-11-24 16:38:17.257050] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:38:17.261030] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-11-24 16:38:17.261030] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:38:17.981610] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:38:17.982586] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:38:17.984608] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:38:17.985585] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:38:17.988606] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '5.2000E-3'
[2025-11-24 16:38:17.989577] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-11-24 16:38:17.999558] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-11-24 16:38:17.999558] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-11-24 16:38:18.003585] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '1.0000E-3'
[2025-11-24 16:38:18.003585] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-11-24 16:38:18.006552] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-11-24 16:38:18.007553] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-11-24 16:38:18.730636] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-11-24 16:38:18.732633] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-11-24 16:38:18.733636] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-11-24 16:38:18.735623] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-11-24 16:38:18.738630] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '5.2000E-3'
