[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 16:48:34.348061] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 16:48:34.353278] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:48:34.396547] [tm_devices] [ WARNING] 
The device `TCPIP0::10.59.31.94::inst0::INSTR` had data sitting in the VISA Output Buffer on first connection. 
Detected data in the buffer via the Status Byte register. 
The device_clear() will be called so VISA I/O buffers get flushed.
[2025-12-01 16:48:36.630857] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:36.733570] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:36.733570] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:36.835996] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:36.835996] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:36.938576] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:36.939577] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.041401] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.041401] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.147858] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.147858] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.251171] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.251171] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.354016] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.354016] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.456782] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.456782] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.559597] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.561568] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.662319] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.664271] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.765152] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.765152] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:37.867834] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.868805] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
