[2025-12-01 15:19:53.035830] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 15:19:53.037834] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 15:19:53.038813] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 15:19:53.038813] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 15:19:53.107701] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 15:19:53.107701] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-12-01 15:19:53.107701] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 15:19:53.107701] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 15:19:53.119796] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGger:A:TYPe EDGE'
[2025-12-01 15:19:53.120797] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:LEVEL 0.5'
[2025-12-01 15:19:53.121823] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:EDGE:SOURCE CH1'
[2025-12-01 15:19:53.121823] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 15:19:53.123821] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 15:19:53.124794] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:SCAle 1'
[2025-12-01 15:19:53.125854] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:POSition 1'
[2025-12-01 15:19:53.125854] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:MODe SAMPLE'
[2025-12-01 15:19:53.127284] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STOPAfter SEQUENCE'
[2025-12-01 15:19:53.128283] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MODE MANUAL'
[2025-12-01 15:19:53.129284] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MAIN:SCALE 2.0'
[2025-12-01 15:19:53.131317] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'MEASUrement:MEAS1:SOURCE CH1'
[2025-12-01 15:19:53.132281] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STATE ON'
[2025-12-01 15:19:53.133280] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:19:53.164167] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:19:53.665833] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:19:53.667690] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:19:54.168704] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:19:54.168704] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:19:54.678619] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:19:54.678619] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:19:55.181566] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:19:55.181566] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '0'
[2025-12-01 15:19:55.185616] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-12-01 15:19:55.185616] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC RIBINARY'
[2025-12-01 15:19:55.185616] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 1'
[2025-12-01 15:19:55.191268] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-12-01 15:19:55.195214] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '200.0000E-3'
[2025-12-01 15:19:55.195214] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-12-01 15:19:55.199208] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-12-01 15:19:55.199208] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-12-01 15:19:55.207204] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '0.0E+0'
[2025-12-01 15:19:55.207204] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-12-01 15:19:55.216198] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-12-01 15:19:55.216198] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-12-01 15:20:28.550673] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SAVE:IMAGE:COMPOSITION INVERTED'
[2025-12-01 15:20:28.551673] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'SAVE:IMAGE:COMPOSITION?'
[2025-12-01 15:20:28.553672] [tm_devices] [    INFO] Response from 'SAVE:IMAGE:COMPOSITION?' >>  'INVERTED'
[2025-12-01 15:20:28.554671] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Query >>  ':FILESystem:CWD?'
[2025-12-01 15:20:28.555672] [tm_devices] [   DEBUG] Response from ':FILESystem:CWD?' >>  '"C:"'
[2025-12-01 15:20:28.556697] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SAVE:IMAGE "./screen.png"'
[2025-12-01 15:20:28.557858] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*OPC?'
[2025-12-01 15:20:28.796968] [tm_devices] [    INFO] Response from '*OPC?' >>  '1'
[2025-12-01 15:20:28.796968] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'FILESYSTEM:READFILE "./screen.png"'
[2025-12-01 15:20:28.811063] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'FILESYSTEM:DELETE "./screen.png"'
[2025-12-01 15:20:28.812369] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*OPC?'
[2025-12-01 15:20:28.826290] [tm_devices] [    INFO] Response from '*OPC?' >>  '1'
[2025-12-01 15:20:29.031703] [tm_devices] [    INFO] Closing Connections to Devices
[2025-12-01 15:20:29.032695] [tm_devices] [    INFO] Closing Connection to SCOPE 1 "SCOPE1"
[2025-12-01 15:20:29.034665] [tm_devices] [    INFO] DeviceManager Closed
