[2025-12-01 16:52:49.895460] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 16:52:49.898073] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 16:52:49.898073] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 16:52:49.898073] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:52:49.935914] [tm_devices] [ WARNING] 
The device `TCPIP0::10.59.31.94::inst0::INSTR` had data sitting in the VISA Output Buffer on first connection. 
Detected data in the buffer via the Status Byte register. 
The device_clear() will be called so VISA I/O buffers get flushed.
[2025-12-01 16:52:49.935914] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 16:52:49.935914] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-12-01 16:52:49.944440] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 16:52:49.946099] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 16:52:51.259438] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGger:A:TYPe EDGE'
[2025-12-01 16:52:51.260437] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:LEVEL 1.0'
[2025-12-01 16:52:51.262408] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:EDGE:SOURCE CH1'
[2025-12-01 16:52:51.263435] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SELECT:CH1 ON'
[2025-12-01 16:52:51.264434] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 16:52:51.289679] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 16:52:51.290651] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:SCAle 1'
[2025-12-01 16:52:51.292654] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:POSition 1'
[2025-12-01 16:52:51.293653] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SELECT:CH2 ON'
[2025-12-01 16:52:51.295179] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH2:SCAle 1'
