[2025-11-24 15:19:15.817970] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-11-24 15:19:15.819978] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-11-24 15:19:15.820987] [tm_devices] [    INFO] Opening DeviceManager
[2025-11-24 15:19:15.820987] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-11-24 15:19:15.946905] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-11-24 15:19:15.946905] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-11-24 15:19:15.947903] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-11-24 15:19:15.949880] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-11-24 15:19:15.951916] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SAVE:IMAGE:COMPOSITION INVERTED'
[2025-11-24 15:19:15.952882] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'SAVE:IMAGE:COMPOSITION?'
[2025-11-24 15:19:15.955899] [tm_devices] [    INFO] Response from 'SAVE:IMAGE:COMPOSITION?' >>  'INVERTED'
[2025-11-24 15:19:15.955899] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Query >>  ':FILESystem:CWD?'
[2025-11-24 15:19:15.957897] [tm_devices] [   DEBUG] Response from ':FILESystem:CWD?' >>  '"C:"'
[2025-11-24 15:19:15.958897] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Query >>  ':FILESystem:LDIR?'
[2025-11-24 15:19:15.960873] [tm_devices] [   DEBUG] Response from ':FILESystem:LDIR?' >>  'Applications;DIR;4096;2019-10-29;12:48:32,Tek000.set;FILE;13800;2021-10-07;17:10:03,Tek001.set;FILE;13800;2021-10-07;17:10:12,Tek002.set;FILE;13800;2021-10-07;17:10:12,Tek003.set;FILE;13800;2021-10-07;17:10:17,Yasser.set;FILE;13862;2021-10-07;19:40:54,Yasser1.set;FILE;14099;2022-01-05;10:44:38,Yudi;DIR;4096;2019-07-31;14:33:46,chrhert;DIR;4096;2019-10-02;15:49:36,cwso;DIR;4096;2023-11-20;15:47:19,lumby;DIR;4096;2019-08-20;14:58:40,muhe;DIR;4096;2022-05-16;17:01:26,myfile.csv;FILE;37848968;2022-05-16;15:50:31'
[2025-11-24 15:19:15.960873] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Write >>  ':FILESystem:MKDir "temp"'
[2025-11-24 15:19:15.961903] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Write >>  ':FILESystem:CWD "./temp"'
[2025-11-24 15:19:15.961903] [tm_devices] [   DEBUG] (SCOPE 1 "SCOPE1") Write >>  ':FILESystem:CWD "C:"'
[2025-11-24 15:19:15.962871] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SAVE:IMAGE "./temp/example.jpg"'
[2025-11-24 15:19:15.963872] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*OPC?'
[2025-11-24 15:19:16.236834] [tm_devices] [    INFO] Response from '*OPC?' >>  '1'
[2025-11-24 15:19:16.237820] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'FILESYSTEM:READFILE "./temp/example.jpg"'
