source_level,measured
0.0,-1.665714e-14
0.1,4.039886e-13
0.2,5.442041e-13
0.30000000000000004,5.033085e-13
0.4,6.084701e-13
0.5,3.923047e-13
0.6000000000000001,7.311587e-13
0.7000000000000001,5.325212e-13
0.8,8.53847e-13
0.9,8.363203e-13
1.0,7.194744e-13
1.1,7.486862e-13
1.2000000000000002,9.297973e-13
1.3,8.480052e-13
1.4000000000000001,7.720557e-13
1.5,7.311599e-13
1.6,9.823782e-13
1.7000000000000002,1.192701e-12
1.8,8.538483e-13
1.9000000000000001,7.545297e-13
2.0,1.385496e-12
2.1,1.181017e-12
2.2,1.087539e-12
2.3000000000000003,9.765347e-13
2.4000000000000004,9.823768e-13
2.5,9.648502e-13
2.6,1.256965e-12
2.7,8.421616e-13
2.8000000000000003,8.363196e-13
2.9000000000000004,1.262807e-12
3.0,6.961045e-13
3.1,1.262807e-12
3.2,9.122692e-13
3.3000000000000003,8.480042e-13
